ca06	b55336558215
ca08	b4b6e4017dbe
ca10	9af539cc4cc3
ca11	b5586b9d292b
c114	b0174b461944
pr04	94aa258b0e5f
c115	9c0dbd2045dd
c202	82f11c10555f
c702	3ffc11ae3dcd
c703	e848892b9aeb
c713	7f176af2fea9
c617	542098356f6f
c107	fa019dec499c
c611	34970f4b0dbf
c812	14a912501abe
pr09	ec95567846a4
c725	87a0e164f358
c612	7778ee3357d8
ep04	a8a16d900946
c209	6d70b4e5b746
c817	0a5c1f3528e3
c302	9e98daeb16b3
c403	e6beb7b28551
c602	f867d79b26fc
c821	2d7aaecde3d1
c906	3b158da5b4a3
c309	f35c21c7beea
c718	8f65ab9c4d6e
c810	8a3a9fbf4699
c522	e6c6abd79bf1
c615	6b8342674114
c210	0c5414ef67ac
c304	dd36d1aabfd5
c912	38ef15d8beb4
c414	2ee2a045866a
c206	af60eb886cb2
c618	bfa33135b5f3
c205	fbb1ea012d7a
c726	70da2f50cda1
c815	306925e52d95
c404	8a747dc3d826
c407	cf4b19429b71
c416	ac8a3ae4cb5f
c425	55f3fa86b054
c824	125f904e8526
c507	d32e38c65390
c714	afbde77a2523
c722	80a2a05b73c2
c510	cb09bcb080e0
c511	f970441411bb
c707	24a7cd73178f
c822	98326d7acac7
c825	8d9343c890c3
c614	3fafa1ccb492
c724	515082f80aa0
c804	2574e88a8da8
c805	37a6343f68c1
c208	cc8a7d24ed4b
c314	bfaa8d7d7654
c315	94b6e56aad5c
c406	318381dcdd1e
c418	41faa4f393f3
c420	13001fc4a4c5
c426	289986289ee6
c504	b8295190c54e
c505	832dc2e549ad
c710	408821f80265
c712	bb100b4bea3c
c717	84a9f9ef4202
c816	abb5a9a105a6
c818	bba76a68ae0f
c819	c64e8a52d310
c901	3b44ef93e7b6
ca05	62a6daa64683
ca09	23395ac05af7
ep06	724ed43c2248
pr06	bf118bb1e0ab
c104	b1b87e2774bc
c110	b67588d92fca
c111	ec20ea0f7558
c207	899887ae87df
c305	612e1333fe29
c310	28d14bb06ad2
c311	bdd1cabc5180
c514	b7e6287da4d4
c521	0cb4334be09c
c303	31efdbbed93c
c913	da450304ad47
c915	193a1e3a8e26
ca12	f11876634c1d
c212	fbe01e016fb1
c502	74f56bbadaab
c509	75388a699584
c603	144392116bdd
c607	dbbb4037d035
c608	b6d5423e0c5a
c616	ab8741c217cd
c706	432843b9cf68
c711	e613b9b4cae8
c719	2223d4d166cd
c721	94ef87335a51
c801	b358ae74268d
c807	aaf9c3004a8f
c811	9b52d4af7af5
c814	0c6fae3d718d
ep05	194c66b632e2
c105	8d9247d06359
c513	96658a8bb46d
c613	f78d10277219
c410	8a88e3b2d72d
c419	f3bb4db18b8d
c109	54f6820bcdd6
c609	23dd8b22df33
ca01	24350c8723cd
pr01	34b5c2c043eb
pr02	6e9079709049
pr03	825b9d0e944a
pr08	5f9dab560094
c519	78b7a7c40f7c
c809	b0235a53231c
c813	c2ba6a5a1b50
c917	0e2d17b48ba9
c312	68cd11cd12d8
pr12	69e97431a3a2
c911	a71126fec7e6
c313	1c11f8091bbc
c620	361b446ce14e
ep03	fa089370257c
c918	981ccdd7bdce
c203	15d3c3c29304
c715	7b84b639bd1a
c515	7fdc21c98e59
c820	f7e23f4de355
ca03	ef6e54b31601
c103	c3b23666d1b9
ca07	845865d9f1fe
c415	53d0b29121af
c204	7e6187b9dc93
c506	2e9e7107a681
ep01	032c6ca7093e
c902	96be2bfb1a80
c904	bb55903ae232
c907	064202964817
c102	4caa3215a5a8
c106	4314defd096d
c112	4856e86eed6f
c113	c1c490fa69b9
c211	13a569534bfb
c214	1fdb074b72bc
c316	36359d1cf87f
c402	0ad0077087f8
c408	4608bf6b438d
c413	3e9d6d44db13
c518	b15ef56abb04
c914	1fd0c0cfb853
c422	9a921f812281
c601	2e7513e2e78a
c610	92983f3a046b
c701	6ed6a5e3e132
c705	fc225177c39e
c709	2728fac96d88
c716	0fd212e128d8
c806	b7302a4d14bc
c808	403746a81699
c823	0a67cdf0826b
c903	4d0c617ebbb2
c909	b28b9ce8468b
c916	357ab03ed5bd
ca02	905210dd7c12
pr05	51eddb5d3b9f
pr07	8ea913ed2805
c101	ec9f06aacd86
c108	70471e1f3c27
c201	ff8792ca3158
c213	b095f84a8685
c215	26943c3bad2c
c301	656d60bf878a
c306	27e97ad777ef
c307	26c1f90596b5
c308	38f68c444b8f
c317	462a2ec354cb
c318	a19c70887541
c401	68548bfff1fc
c405	753f19684572
c409	695d257fc369
c411	48142eef8820
c412	5e306647202f
c417	a499643c0cf9
c421	b71f6dbc3747
c423	db7f05bcc74f
c424	6e0e05ef9235
