cid	mm:ss	start	sec	chapter
pr01	0:00.0	0.00	8.77	冒頭
pr02	0:08.8	8.77	10.29	冒頭
pr03	0:19.1	19.06	5.73	冒頭
pr04	0:24.8	24.79	12.61	冒頭
pr05	0:37.4	37.40	11.89	冒頭
pr06	0:49.3	49.29	9.57	冒頭
pr07	0:58.9	58.86	8.93	冒頭
pr08	1:07.8	67.79	7.33	冒頭
pr09	1:15.1	75.12	8.61	冒頭
pr10	1:23.7	83.73	7.57	冒頭
pr11	1:31.3	91.30	11.09	冒頭
pr12	1:42.4	102.39	11.12	冒頭
c101	1:53.5	113.51	8.67	1/9 いちばん古い船
c102	2:02.2	122.18	7.33	1/9 いちばん古い船
c103	2:09.5	129.51	11.10	1/9 いちばん古い船
c104	2:20.6	140.61	9.05	1/9 いちばん古い船
c105	2:29.7	149.66	8.53	1/9 いちばん古い船
c106	2:38.2	158.19	9.66	1/9 いちばん古い船
c107	2:47.8	167.85	10.67	1/9 いちばん古い船
c108	2:58.5	178.52	8.21	1/9 いちばん古い船
c109	3:06.7	186.73	13.15	1/9 いちばん古い船
c110	3:19.9	199.88	8.90	1/9 いちばん古い船
c111	3:28.8	208.78	10.45	1/9 いちばん古い船
c112	3:39.2	219.23	16.93	1/9 いちばん古い船
c113	3:56.2	236.16	14.77	1/9 いちばん古い船
c114	4:10.9	250.93	14.87	1/9 いちばん古い船
c115	4:25.8	265.80	8.77	1/9 いちばん古い船
c116	4:34.6	274.57	9.01	1/9 いちばん古い船
c117	4:43.6	283.58	12.37	1/9 いちばん古い船
c118	4:55.9	295.95	10.37	1/9 いちばん古い船
c201	5:06.3	306.32	17.20	2/9 打ち上げ81.7秒
c202	5:23.5	323.52	5.25	2/9 打ち上げ81.7秒
c203	5:28.8	328.77	6.85	2/9 打ち上げ81.7秒
c204	5:35.6	335.62	8.35	2/9 打ち上げ81.7秒
c205	5:44.0	343.97	10.13	2/9 打ち上げ81.7秒
c206	5:54.1	354.10	13.89	2/9 打ち上げ81.7秒
c207	6:08.0	367.99	15.57	2/9 打ち上げ81.7秒
c208	6:23.6	383.56	9.11	2/9 打ち上げ81.7秒
c209	6:32.7	392.67	10.36	2/9 打ち上げ81.7秒
c210	6:43.0	403.03	9.73	2/9 打ち上げ81.7秒
c211	6:52.8	412.76	7.01	2/9 打ち上げ81.7秒
c212	6:59.8	419.77	10.47	2/9 打ち上げ81.7秒
c213	7:10.2	430.24	11.57	2/9 打ち上げ81.7秒
c214	7:21.8	441.81	7.65	2/9 打ち上げ81.7秒
c215	7:29.5	449.46	8.21	2/9 打ち上げ81.7秒
c216	7:37.7	457.67	9.81	2/9 打ち上げ81.7秒
c217	7:47.5	467.48	12.53	2/9 打ち上げ81.7秒
c218	8:00.0	480.01	10.45	2/9 打ち上げ81.7秒
c219	8:10.5	490.46	9.89	2/9 打ち上げ81.7秒
c220	8:20.3	500.35	9.97	2/9 打ち上げ81.7秒
c221	8:30.3	510.32	6.77	2/9 打ち上げ81.7秒
c222	8:37.1	517.09	12.43	2/9 打ち上げ81.7秒
c301	8:49.5	529.52	8.30	3/9 翌日、フィルムに写っていたもの
c302	8:57.8	537.82	10.04	3/9 翌日、フィルムに写っていたもの
c303	9:07.9	547.86	8.05	3/9 翌日、フィルムに写っていたもの
c304	9:15.9	555.91	15.03	3/9 翌日、フィルムに写っていたもの
c305	9:30.9	570.94	7.89	3/9 翌日、フィルムに写っていたもの
c306	9:38.8	578.83	9.39	3/9 翌日、フィルムに写っていたもの
c307	9:48.2	588.22	14.42	3/9 翌日、フィルムに写っていたもの
c308	10:02.6	602.64	8.21	3/9 翌日、フィルムに写っていたもの
c309	10:10.8	610.85	8.53	3/9 翌日、フィルムに写っていたもの
c310	10:19.4	619.38	8.93	3/9 翌日、フィルムに写っていたもの
c311	10:28.3	628.31	12.92	3/9 翌日、フィルムに写っていたもの
c312	10:41.2	641.23	7.65	3/9 翌日、フィルムに写っていたもの
c313	10:48.9	648.88	6.36	3/9 翌日、フィルムに写っていたもの
c314	10:55.2	655.24	11.45	3/9 翌日、フィルムに写っていたもの
c315	11:06.7	666.69	6.37	3/9 翌日、フィルムに写っていたもの
c316	11:13.1	673.06	14.09	3/9 翌日、フィルムに写っていたもの
c317	11:27.1	687.15	6.61	3/9 翌日、フィルムに写っていたもの
c318	11:33.8	693.76	9.25	3/9 翌日、フィルムに写っていたもの
c319	11:43.0	703.01	8.98	3/9 翌日、フィルムに写っていたもの
c320	11:52.0	711.99	7.25	3/9 翌日、フィルムに写っていたもの
c401	11:59.2	719.24	11.17	4/9 軌道の上の16日間
c402	12:10.4	730.41	9.29	4/9 軌道の上の16日間
c403	12:19.7	739.70	9.41	4/9 軌道の上の16日間
c404	12:29.1	749.11	8.31	4/9 軌道の上の16日間
c405	12:37.4	757.42	8.29	4/9 軌道の上の16日間
c406	12:45.7	765.71	12.00	4/9 軌道の上の16日間
c407	12:57.7	777.71	11.39	4/9 軌道の上の16日間
c408	13:09.1	789.10	9.49	4/9 軌道の上の16日間
c409	13:18.6	798.59	9.92	4/9 軌道の上の16日間
c410	13:28.5	808.51	10.29	4/9 軌道の上の16日間
c411	13:38.8	818.80	10.77	4/9 軌道の上の16日間
c412	13:49.6	829.57	12.53	4/9 軌道の上の16日間
c413	14:02.1	842.10	12.60	4/9 軌道の上の16日間
c414	14:14.7	854.70	7.89	4/9 軌道の上の16日間
c415	14:22.6	862.59	9.01	4/9 軌道の上の16日間
c416	14:31.6	871.60	11.22	4/9 軌道の上の16日間
c417	14:42.8	882.82	8.45	4/9 軌道の上の16日間
c418	14:51.3	891.27	6.69	4/9 軌道の上の16日間
c419	14:58.0	897.96	7.38	4/9 軌道の上の16日間
c420	15:05.3	905.34	9.96	4/9 軌道の上の16日間
c501	15:15.3	915.30	11.09	5/9 三度の「撮ってください」
c502	15:26.4	926.39	11.09	5/9 三度の「撮ってください」
c503	15:37.5	937.48	12.27	5/9 三度の「撮ってください」
c504	15:49.7	949.75	7.89	5/9 三度の「撮ってください」
c505	15:57.6	957.64	11.25	5/9 三度の「撮ってください」
c506	16:08.9	968.89	12.13	5/9 三度の「撮ってください」
c507	16:21.0	981.02	11.25	5/9 三度の「撮ってください」
c508	16:32.3	992.27	12.83	5/9 三度の「撮ってください」
c509	16:45.1	1005.10	7.97	5/9 三度の「撮ってください」
c510	16:53.1	1013.07	11.21	5/9 三度の「撮ってください」
c511	17:04.3	1024.28	7.96	5/9 三度の「撮ってください」
c512	17:12.2	1032.24	12.69	5/9 三度の「撮ってください」
c513	17:24.9	1044.93	8.61	5/9 三度の「撮ってください」
c514	17:33.5	1053.54	9.47	5/9 三度の「撮ってください」
c515	17:43.0	1063.01	8.06	5/9 三度の「撮ってください」
c516	17:51.1	1071.07	8.93	5/9 三度の「撮ってください」
c517	17:60.0	1080.00	9.57	5/9 三度の「撮ってください」
c518	18:09.6	1089.57	10.21	5/9 三度の「撮ってください」
c519	18:19.8	1099.78	12.61	5/9 三度の「撮ってください」
c520	18:32.4	1112.39	15.57	5/9 三度の「撮ってください」
c521	18:48.0	1127.96	9.33	5/9 三度の「撮ってください」
c522	18:57.3	1137.29	10.77	5/9 三度の「撮ってください」
c523	19:08.1	1148.06	10.38	5/9 三度の「撮ってください」
c524	19:18.4	1158.44	8.45	5/9 三度の「撮ってください」
c525	19:26.9	1166.89	8.05	5/9 三度の「撮ってください」
c526	19:34.9	1174.94	13.73	5/9 三度の「撮ってください」
c527	19:48.7	1188.67	8.23	5/9 三度の「撮ってください」
c528	19:56.9	1196.90	8.37	5/9 三度の「撮ってください」
c601	20:05.3	1205.27	6.45	6/9 助ける道はあったのか
c602	20:11.7	1211.72	11.56	6/9 助ける道はあったのか
c603	20:23.3	1223.28	10.22	6/9 助ける道はあったのか
c604	20:33.5	1233.50	6.77	6/9 助ける道はあったのか
c605	20:40.3	1240.27	10.45	6/9 助ける道はあったのか
c606	20:50.7	1250.72	8.37	6/9 助ける道はあったのか
c607	20:59.1	1259.09	9.34	6/9 助ける道はあったのか
c608	21:08.4	1268.43	10.29	6/9 助ける道はあったのか
c609	21:18.7	1278.72	8.77	6/9 助ける道はあったのか
c610	21:27.5	1287.49	9.65	6/9 助ける道はあったのか
